id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
6369,"Rooftop terrace room with ensuite bathroom, Airc.",13660,Simon,Chamartín,Hispanoamérica,40,-3,70,1,65,04/09/2019,0.56,1,53,Private room
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40,-3,17,4,33,15/07/2018,0.55,2,48,Private room
24805,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40,-3,80,5,2,03/07/2017,0.03,1,354,Entire home/apt
24836,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40,-3,115,3,64,07/07/2019,0.63,1,301,Entire home/apt
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40,-3,25,2,136,10/07/2019,1.19,1,337,Private room
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40,-3,65,5,168,09/07/2019,1.5,3,322,Entire home/apt
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40,-3,54,3,8,30/05/2017,0.15,1,0,Entire home/apt
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40,-3,90,3,38,07/07/2019,0.35,3,337,Entire home/apt
59923,Habitación para féminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40,-3,40,1,14,09/12/2018,0.14,1,363,Private room
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40,-3,45,1,57,29/07/2019,3.43,2,352,Private room
70059,"PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright",353616,Diana,Centro,Universidad,40,-3,65,5,85,16/09/2019,0.81,2,291,Entire home/apt
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40,-3,70,28,18,19/05/2019,0.18,5,343,Entire home/apt
70315,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40,-3,75,28,3,01/06/2016,0.04,5,323,Entire home/apt
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40,-3,75,28,6,02/01/2019,0.12,5,261,Entire home/apt
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40,-3,110,2,95,09/09/2019,0.91,5,166,Entire home/apt
72955,Madrid Apartment Prado Museum,378073,Alvaro,Centro,Cortes,40,-3,85,3,14,24/06/2019,0.23,9,344,Entire home/apt
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40,-3,80,8,5,04/08/2019,0.19,1,77,Entire home/apt
75609,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40,-3,63,3,53,27/07/2019,0.59,1,189,Entire home/apt
76617,Plaza Comendadoras Lux,368907,Miguel,Centro,Universidad,40,-3,102,3,33,23/06/2019,0.34,2,102,Entire home/apt
82481,"Retiro Park, Stay at cosy studio ",448981,Mercedes,Salamanca,Recoletos,40,-3,60,3,108,29/11/2017,1.06,1,0,Entire home/apt
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40,-3,60,3,178,16/06/2019,1.75,1,0,Entire home/apt
86042,Cozy attic flat with intimate rooftop terrace,364585,Vin,Centro,Embajadores,40,-3,100,2,140,13/07/2019,1.39,5,165,Entire home/apt
89954,Amazing apt in the historic center,487095,Alicia Y Carlos,Centro,Palacio,40,-3,110,2,195,15/09/2019,1.95,1,292,Entire home/apt
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40,-3,50,2,86,09/06/2019,0.85,1,346,Private room
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40,-3,32,1,594,14/09/2019,5.83,3,321,Private room
96072, Room for rent in Madrid,510570,Laura / Ismael,Tetuán,Cuatro Caminos,40,-3,25,3,178,12/08/2019,1.99,1,261,Private room
100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40,-3,60,2,3,24/06/2016,0.07,1,0,Entire home/apt
101507,NICE FLAT IN THE CENTER OF MADRID,5795235,Elise,Centro,Embajadores,40,-3,65,3,57,15/07/2019,0.79,4,323,Entire home/apt
102040,Nice Single Room with wifi.,533936,Carlos Alberto,Ciudad Lineal,Pueblo Nuevo,40,-3,20,3,0,01/01/2019,0,1,47,Private room
102091,Family Apartment Two Bedrooms& Two Bathroom,534128,Laura,Chamberí,Trafalgar,40,-3,194,3,8,04/07/2017,0.08,12,321,Entire home/apt
102194,CHIC APARTMENT CHUECA WiFi & AC,534515,Guillermo,Centro,Justicia,40,-3,95,2,17,10/04/2019,0.17,1,272,Entire home/apt
103541,CENTRAL AND COMFORT APTO. W/PARKING,361930,Maria,Chamberí,Almagro,40,-3,75,2,167,14/09/2019,1.67,4,0,Entire home/apt
109369,RENT ROOM FOR DAYS/ALQUILER HABITACION LUMINOSA,564773,Eva,Fuencarral - El Pardo,Pilar,40,-3,40,1,8,13/06/2019,0.7,1,339,Private room
112650,Madrid center 2 rooms 4 people,574498,Fernando,Centro,Universidad,40,-3,75,4,39,04/06/2019,0.71,1,110,Entire home/apt
114854,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamberí,Rios Rosas,40,-3,75,2,103,24/08/2019,1.06,4,287,Entire home/apt
117919,"Huge, perfect location, AC...!!",557423,Yacob,Centro,Embajadores,40,-3,57,3,431,05/08/2019,4.26,1,0,Entire home/apt
119389,Madrid Apartment Latina,378073,Alvaro,Centro,Palacio,40,-3,85,3,71,24/07/2019,0.74,9,322,Entire home/apt
120293,ROOM IN THE CENTER -LA LATINA- WIFI,605612,Ulises,Centro,Palacio,40,-3,35,1,183,16/09/2019,1.86,6,356,Private room
120762,SHINY ROOM in DOWNTOWN / MALASAÑA!!,606925,Noelia,Centro,Universidad,40,-3,29,1,218,08/08/2019,2.15,3,230,Private room
123864,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,605612,Ulises,Centro,Embajadores,40,-3,67,1,509,15/07/2019,5.09,6,143,Entire home/apt
