price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,room_type
70,1,65,0.56,1,53,Private room
17,4,33,0.55,2,48,Private room
80,5,2,0.03,1,354,Entire home/apt
115,3,64,0.63,1,301,Entire home/apt
25,2,136,1.19,1,337,Private room
65,5,168,1.5,3,322,Entire home/apt
54,3,8,0.15,1,0,Entire home/apt
90,3,38,0.35,3,337,Entire home/apt
40,1,14,0.14,1,363,Private room
45,1,57,3.43,2,352,Private room
65,5,85,0.81,2,291,Entire home/apt
70,28,18,0.18,5,343,Entire home/apt
75,28,3,0.04,5,323,Entire home/apt
75,28,6,0.12,5,261,Entire home/apt
110,2,95,0.91,5,166,Entire home/apt
85,3,14,0.23,9,344,Entire home/apt
80,8,5,0.19,1,77,Entire home/apt
63,3,53,0.59,1,189,Entire home/apt
102,3,33,0.34,2,102,Entire home/apt
60,3,108,1.06,1,0,Entire home/apt
60,3,178,1.75,1,0,Entire home/apt
100,2,140,1.39,5,165,Entire home/apt
110,2,195,1.95,1,292,Entire home/apt
50,2,86,0.85,1,346,Private room
32,1,594,5.83,3,321,Private room
25,3,178,1.99,1,261,Private room
60,2,3,0.07,1,0,Entire home/apt
65,3,57,0.79,4,323,Entire home/apt
20,3,0,0,1,47,Private room
194,3,8,0.08,12,321,Entire home/apt
95,2,17,0.17,1,272,Entire home/apt
75,2,167,1.67,4,0,Entire home/apt
40,1,8,0.7,1,339,Private room
75,4,39,0.71,1,110,Entire home/apt
75,2,103,1.06,4,287,Entire home/apt
57,3,431,4.26,1,0,Entire home/apt
85,3,71,0.74,9,322,Entire home/apt
35,1,183,1.86,6,356,Private room
29,1,218,2.15,3,230,Private room
67,1,509,5.09,6,143,Entire home/apt
200,2,69,0.81,1,225,Entire home/apt
26,3,81,2.9,1,351,Private room
21,1,72,0.72,1,170,Private room
80,2,22,0.54,9,61,Entire home/apt
40,1,4,1.17,1,338,Private room
69,3,82,0.98,8,133,Entire home/apt
65,90,8,0.08,1,270,Entire home/apt
45,1,17,0.19,2,356,Private room
25,2,63,0.64,5,231,Private room
90,25,190,1.98,3,248,Entire home/apt
150,3,4,0.04,2,337,Entire home/apt
60,1,41,0.47,10,168,Private room
60,1,193,2.08,10,166,Private room
80,5,24,0.27,30,355,Hotel room
80,5,11,0.11,30,358,Hotel room
19,2,93,0.99,4,348,Private room
90,1,6,0.08,5,0,Entire home/apt
30,1,12,0.17,5,0,Private room
30,1,40,0.43,5,0,Private room
89,1,0,0,5,0,Entire home/apt
70,3,210,2.16,3,275,Entire home/apt
77,3,253,2.58,2,81,Entire home/apt
25,1,24,0.46,2,271,Private room
75,3,141,1.44,1,305,Private room
140,7,0,0,1,119,Entire home/apt
40,1,43,0.44,3,324,Private room
140,7,97,1,1,288,Entire home/apt
85,3,265,2.71,2,289,Entire home/apt
50,10,6,0.07,4,350,Private room
30,25,33,0.35,1,181,Private room
95,2,175,1.81,1,184,Entire home/apt
55,2,100,1.04,1,310,Private room
95,4,151,1.57,3,287,Entire home/apt
145,3,195,2.04,9,339,Entire home/apt
29,1,166,1.72,3,329,Private room
75,365,8,0.09,1,365,Entire home/apt
30,2,141,1.5,1,259,Private room
25,4,57,0.68,3,264,Private room
55,2,462,4.78,2,335,Entire home/apt
30,1,0,0,1,88,Private room
25,5,77,0.8,2,230,Private room
80,2,135,1.48,9,332,Entire home/apt
98,6,47,0.5,1,90,Entire home/apt
50,15,86,0.98,3,327,Entire home/apt
83,5,35,0.38,1,292,Entire home/apt
